,id,free_text,CLEAN,OFFENSIVE,HATE,label_id
0,test_ryhoydgtcg,"""mình thanh_lý giúp khách bức tranh tranh thêu tay mã_đáo thành_công cm thêu gần năm mới xong thêu đều đẹp như hình giá rẻ mua về bán kiểu gì cũng lãi nhé bạn nào cần alo mình giá chỉ hơn triệu thôi""",0.99991256,0.00010854918,3.502446e-05,0.0
1,test_yqasbugonw,"""buồn bất_cần alone""",0.9991461,0.0007965982,0.00016012433,0.0
2,test_etnlgoxldg,"""hàng mới về nga nguyen tran cuong and banmai xanh""",0.99977154,0.00018943581,8.1144644e-05,0.0
3,test_fhabnngpzi,"""mệt vl""",0.97580355,0.031897027,0.00061210204,0.0
4,test_wqkbbeobym,"""minh_chí nhán nhí vl""",0.9953644,0.0050411546,0.00039168505,0.0
5,test_gpriscavtl,"""tác_hại của dtdt utm_source desktop utm_medium facebook utm_campaign share cảnh_tỉnh cho những_ai đang chiều con bằng điện_thoại thông_minh để con_trẻ tự_do với điện_thoại thông_minh mọi hoạt_động của con đều đưa điện_thoại ra để chiều và thói_quen đó đã đánh mất tương_lai chính đứa con của mình""",0.9977579,0.00093121885,0.0013172107,0.0
6,test_nzljuohtwi,"""anh tao ko phải là thứ để chúng bay mang ra làm_trò_đùa vô liêm_sỉ""",0.9978831,0.0017619494,0.000438427,0.0
7,test_vauataawkf,"""sai quá sai có_thể_loại không thích những vẫn đam_mê thả thính và làm màu nha""",0.9999255,6.1000417e-05,2.9239513e-05,0.0
8,test_sgefyiyfre,"""su bin cười vl""",0.9988234,0.0012001907,0.0001399472,0.0
9,test_frzbnkqsch,"""thời của tui""",0.99772304,0.0020606478,0.0007942588,0.0
10,test_kiovjdetda,"""đi ngủ rồi mà chợt nhớ ra còn sót đơn hàng của khách thế_là lại ngồi dậy gói hàng cho kịp đi chuyến sáng_mai chúc các tình_yêu ngủ ngon nhé đặng_nhị nhị đặng at giày nhà bi cy""",0.9998937,9.728438e-05,3.625177e-05,0.0
11,test_klrxkcrauf,"""kiều shop có mẫu ảnh kiều shop có số ngô_gia tự gần bùng bih tấn tài""",0.99997884,2.003734e-05,8.322014e-06,0.0
